"indice_tiempo","area_protegida","residencia","visitas"
2001-10-01,"Bosque Petrificado Sarmiento","No residentes",55
2001-10-01,"Bosque Petrificado Sarmiento","Residentes",211
2001-10-01,"Península Valdés","No residentes",1576
2001-10-01,"Península Valdés","Residentes",16446
2001-10-01,"Punta Loma","No residentes",167
2001-10-01,"Punta Loma","Residentes",900
2001-10-01,"Punta Tombo","No residentes",1665
2001-10-01,"Punta Tombo","Residentes",6802
2001-10-01,"Cabo Dos Bahías","No residentes",25
2001-10-01,"Cabo Dos Bahías","Residentes",222
2001-11-01,"Bosque Petrificado Sarmiento","No residentes",143
2001-11-01,"Bosque Petrificado Sarmiento","Residentes",179
2001-11-01,"Península Valdés","No residentes",3261
2001-11-01,"Península Valdés","Residentes",11218
2001-11-01,"Punta Loma","No residentes",412
2001-11-01,"Punta Loma","Residentes",857
2001-11-01,"Punta Tombo","No residentes",2494
2001-11-01,"Punta Tombo","Residentes",4120
2001-11-01,"Cabo Dos Bahías","No residentes",154
2001-11-01,"Cabo Dos Bahías","Residentes",487
2001-12-01,"Bosque Petrificado Sarmiento","No residentes",176
2001-12-01,"Bosque Petrificado Sarmiento","Residentes",148
2001-12-01,"Península Valdés","No residentes",2448
2001-12-01,"Península Valdés","Residentes",6355
2001-12-01,"Punta Loma","No residentes",285
2001-12-01,"Punta Loma","Residentes",458
2001-12-01,"Punta Tombo","No residentes",1836
2001-12-01,"Punta Tombo","Residentes",946
2001-12-01,"Cabo Dos Bahías","No residentes",109
2001-12-01,"Cabo Dos Bahías","Residentes",279
2002-01-01,"Bosque Petrificado Sarmiento","No residentes",0
2002-01-01,"Bosque Petrificado Sarmiento","Residentes",614
2002-01-01,"Península Valdés","No residentes",2880
2002-01-01,"Península Valdés","Residentes",20630
2002-01-01,"Punta Loma","No residentes",1115
2002-01-01,"Punta Loma","Residentes",2264
2002-01-01,"Punta Tombo","No residentes",2148
2002-01-01,"Punta Tombo","Residentes",3595
2002-01-01,"Cabo Dos Bahías","No residentes",229
2002-01-01,"Cabo Dos Bahías","Residentes",768
2002-02-01,"Bosque Petrificado Sarmiento","No residentes",88
2002-02-01,"Bosque Petrificado Sarmiento","Residentes",315
2002-02-01,"Península Valdés","No residentes",1286
2002-02-01,"Península Valdés","Residentes",14370
2002-02-01,"Punta Loma","No residentes",711
2002-02-01,"Punta Loma","Residentes",1701
2002-02-01,"Punta Tombo","No residentes",1696
2002-02-01,"Punta Tombo","Residentes",2696
2002-02-01,"Cabo Dos Bahías","No residentes",54
2002-02-01,"Cabo Dos Bahías","Residentes",568
2002-03-01,"Bosque Petrificado Sarmiento","No residentes",70
2002-03-01,"Bosque Petrificado Sarmiento","Residentes",303
2002-03-01,"Península Valdés","No residentes",1357
2002-03-01,"Península Valdés","Residentes",7842
2002-03-01,"Punta Loma","No residentes",711
2002-03-01,"Punta Loma","Residentes",1681
2002-03-01,"Punta Tombo","No residentes",1150
2002-03-01,"Punta Tombo","Residentes",2392
2002-03-01,"Cabo Dos Bahías","No residentes",31
2002-03-01,"Cabo Dos Bahías","Residentes",247
2002-04-01,"Bosque Petrificado Sarmiento","No residentes",20
2002-04-01,"Bosque Petrificado Sarmiento","Residentes",123
2002-04-01,"Península Valdés","No residentes",241
2002-04-01,"Península Valdés","Residentes",2003
2002-04-01,"Punta Loma","No residentes",34
2002-04-01,"Punta Loma","Residentes",441
2002-04-01,"Punta Tombo","No residentes",117
2002-04-01,"Punta Tombo","Residentes",343
2002-04-01,"Cabo Dos Bahías","No residentes",9
2002-04-01,"Cabo Dos Bahías","Residentes",75
2002-05-01,"Bosque Petrificado Sarmiento","No residentes",11
2002-05-01,"Bosque Petrificado Sarmiento","Residentes",34
2002-05-01,"Península Valdés","No residentes",163
2002-05-01,"Península Valdés","Residentes",939
2002-05-01,"Punta Loma","No residentes",0
2002-05-01,"Punta Loma","Residentes",135
2002-05-01,"Punta Tombo","No residentes",NA
2002-05-01,"Punta Tombo","Residentes",NA
2002-05-01,"Cabo Dos Bahías","No residentes",NA
2002-05-01,"Cabo Dos Bahías","Residentes",NA
2002-06-01,"Bosque Petrificado Sarmiento","No residentes",0
2002-06-01,"Bosque Petrificado Sarmiento","Residentes",0
2002-06-01,"Península Valdés","No residentes",136
2002-06-01,"Península Valdés","Residentes",1096
2002-06-01,"Punta Loma","No residentes",0
2002-06-01,"Punta Loma","Residentes",24
2002-06-01,"Punta Tombo","No residentes",NA
2002-06-01,"Punta Tombo","Residentes",NA
2002-06-01,"Cabo Dos Bahías","No residentes",NA
2002-06-01,"Cabo Dos Bahías","Residentes",NA
2002-07-01,"Bosque Petrificado Sarmiento","No residentes",9
2002-07-01,"Bosque Petrificado Sarmiento","Residentes",82
2002-07-01,"Península Valdés","No residentes",278
2002-07-01,"Península Valdés","Residentes",6662
2002-07-01,"Punta Loma","No residentes",5
2002-07-01,"Punta Loma","Residentes",1071
2002-07-01,"Punta Tombo","No residentes",NA
2002-07-01,"Punta Tombo","Residentes",NA
2002-07-01,"Cabo Dos Bahías","No residentes",NA
2002-07-01,"Cabo Dos Bahías","Residentes",NA
2002-08-01,"Bosque Petrificado Sarmiento","No residentes",0
2002-08-01,"Bosque Petrificado Sarmiento","Residentes",38
2002-08-01,"Península Valdés","No residentes",548
2002-08-01,"Península Valdés","Residentes",5235
2002-08-01,"Punta Loma","No residentes",225
2002-08-01,"Punta Loma","Residentes",474
2002-08-01,"Punta Tombo","No residentes",NA
2002-08-01,"Punta Tombo","Residentes",NA
2002-08-01,"Cabo Dos Bahías","No residentes",NA
2002-08-01,"Cabo Dos Bahías","Residentes",NA
2002-09-01,"Bosque Petrificado Sarmiento","No residentes",14
2002-09-01,"Bosque Petrificado Sarmiento","Residentes",93
2002-09-01,"Península Valdés","No residentes",987
2002-09-01,"Península Valdés","Residentes",7942
2002-09-01,"Punta Loma","No residentes",208
2002-09-01,"Punta Loma","Residentes",878
2002-09-01,"Punta Tombo","No residentes",2148
2002-09-01,"Punta Tombo","Residentes",2105
2002-09-01,"Cabo Dos Bahías","No residentes",14
2002-09-01,"Cabo Dos Bahías","Residentes",120
2002-10-01,"Bosque Petrificado Sarmiento","No residentes",51
2002-10-01,"Bosque Petrificado Sarmiento","Residentes",111
2002-10-01,"Península Valdés","No residentes",1298
2002-10-01,"Península Valdés","Residentes",14917
2002-10-01,"Punta Loma","No residentes",125
2002-10-01,"Punta Loma","Residentes",1982
2002-10-01,"Punta Tombo","No residentes",1696
2002-10-01,"Punta Tombo","Residentes",5100
2002-10-01,"Cabo Dos Bahías","No residentes",142
2002-10-01,"Cabo Dos Bahías","Residentes",490
2002-11-01,"Bosque Petrificado Sarmiento","No residentes",189
2002-11-01,"Bosque Petrificado Sarmiento","Residentes",126
2002-11-01,"Península Valdés","No residentes",3101
2002-11-01,"Península Valdés","Residentes",11712
2002-11-01,"Punta Loma","No residentes",291
2002-11-01,"Punta Loma","Residentes",2055
2002-11-01,"Punta Tombo","No residentes",1711
2002-11-01,"Punta Tombo","Residentes",5220
2002-11-01,"Cabo Dos Bahías","No residentes",302
2002-11-01,"Cabo Dos Bahías","Residentes",692
2002-12-01,"Bosque Petrificado Sarmiento","No residentes",204
2002-12-01,"Bosque Petrificado Sarmiento","Residentes",247
2002-12-01,"Península Valdés","No residentes",2329
2002-12-01,"Península Valdés","Residentes",8986
2002-12-01,"Punta Loma","No residentes",468
2002-12-01,"Punta Loma","Residentes",1106
2002-12-01,"Punta Tombo","No residentes",1576
2002-12-01,"Punta Tombo","Residentes",1950
2002-12-01,"Cabo Dos Bahías","No residentes",187
2002-12-01,"Cabo Dos Bahías","Residentes",603
2003-01-01,"Bosque Petrificado Sarmiento","No residentes",257
2003-01-01,"Bosque Petrificado Sarmiento","Residentes",1003
2003-01-01,"Península Valdés","No residentes",4581
2003-01-01,"Península Valdés","Residentes",30652
2003-01-01,"Punta Loma","No residentes",1719
2003-01-01,"Punta Loma","Residentes",5466
2003-01-01,"Punta Tombo","No residentes",4298
2003-01-01,"Punta Tombo","Residentes",6621
2003-01-01,"Cabo Dos Bahías","No residentes",494
2003-01-01,"Cabo Dos Bahías","Residentes",1707
2003-02-01,"Bosque Petrificado Sarmiento","No residentes",239
2003-02-01,"Bosque Petrificado Sarmiento","Residentes",555
2003-02-01,"Península Valdés","No residentes",4195
2003-02-01,"Península Valdés","Residentes",19835
2003-02-01,"Punta Loma","No residentes",2147
2003-02-01,"Punta Loma","Residentes",2272
2003-02-01,"Punta Tombo","No residentes",3177
2003-02-01,"Punta Tombo","Residentes",3699
2003-02-01,"Cabo Dos Bahías","No residentes",194
2003-02-01,"Cabo Dos Bahías","Residentes",1351
2003-03-01,"Bosque Petrificado Sarmiento","No residentes",102
2003-03-01,"Bosque Petrificado Sarmiento","Residentes",293
2003-03-01,"Península Valdés","No residentes",2704
2003-03-01,"Península Valdés","Residentes",7063
2003-03-01,"Punta Loma","No residentes",841
2003-03-01,"Punta Loma","Residentes",1015
2003-03-01,"Punta Tombo","No residentes",1875
2003-03-01,"Punta Tombo","Residentes",1654
2003-03-01,"Cabo Dos Bahías","No residentes",91
2003-03-01,"Cabo Dos Bahías","Residentes",769
2003-04-01,"Bosque Petrificado Sarmiento","No residentes",47
2003-04-01,"Bosque Petrificado Sarmiento","Residentes",266
2003-04-01,"Península Valdés","No residentes",1028
2003-04-01,"Península Valdés","Residentes",3456
2003-04-01,"Punta Loma","No residentes",400
2003-04-01,"Punta Loma","Residentes",660
2003-04-01,"Punta Tombo","No residentes",395
2003-04-01,"Punta Tombo","Residentes",575
2003-04-01,"Cabo Dos Bahías","No residentes",14
2003-04-01,"Cabo Dos Bahías","Residentes",246
2003-05-01,"Bosque Petrificado Sarmiento","No residentes",22
2003-05-01,"Bosque Petrificado Sarmiento","Residentes",70
2003-05-01,"Península Valdés","No residentes",298
2003-05-01,"Península Valdés","Residentes",1419
2003-05-01,"Punta Loma","No residentes",15
2003-05-01,"Punta Loma","Residentes",344
2003-05-01,"Punta Tombo","No residentes",NA
2003-05-01,"Punta Tombo","Residentes",NA
2003-05-01,"Cabo Dos Bahías","No residentes",NA
2003-05-01,"Cabo Dos Bahías","Residentes",NA
2003-06-01,"Bosque Petrificado Sarmiento","No residentes",9
2003-06-01,"Bosque Petrificado Sarmiento","Residentes",56
2003-06-01,"Península Valdés","No residentes",250
2003-06-01,"Península Valdés","Residentes",706
2003-06-01,"Punta Loma","No residentes",9
2003-06-01,"Punta Loma","Residentes",257
2003-06-01,"Punta Tombo","No residentes",NA
2003-06-01,"Punta Tombo","Residentes",NA
2003-06-01,"Cabo Dos Bahías","No residentes",NA
2003-06-01,"Cabo Dos Bahías","Residentes",NA
2003-07-01,"Bosque Petrificado Sarmiento","No residentes",33
2003-07-01,"Bosque Petrificado Sarmiento","Residentes",218
2003-07-01,"Península Valdés","No residentes",963
2003-07-01,"Península Valdés","Residentes",9080
2003-07-01,"Punta Loma","No residentes",36
2003-07-01,"Punta Loma","Residentes",2081
2003-07-01,"Punta Tombo","No residentes",NA
2003-07-01,"Punta Tombo","Residentes",NA
2003-07-01,"Cabo Dos Bahías","No residentes",NA
2003-07-01,"Cabo Dos Bahías","Residentes",NA
2003-08-01,"Bosque Petrificado Sarmiento","No residentes",36
2003-08-01,"Bosque Petrificado Sarmiento","Residentes",139
2003-08-01,"Península Valdés","No residentes",2097
2003-08-01,"Península Valdés","Residentes",6971
2003-08-01,"Punta Loma","No residentes",78
2003-08-01,"Punta Loma","Residentes",2424
2003-08-01,"Punta Tombo","No residentes",NA
2003-08-01,"Punta Tombo","Residentes",NA
2003-08-01,"Cabo Dos Bahías","No residentes",NA
2003-08-01,"Cabo Dos Bahías","Residentes",NA
2003-09-01,"Bosque Petrificado Sarmiento","No residentes",41
2003-09-01,"Bosque Petrificado Sarmiento","Residentes",199
2003-09-01,"Península Valdés","No residentes",3626
2003-09-01,"Península Valdés","Residentes",10498
2003-09-01,"Punta Loma","No residentes",619
2003-09-01,"Punta Loma","Residentes",2006
2003-09-01,"Punta Tombo","No residentes",1310
2003-09-01,"Punta Tombo","Residentes",3310
2003-09-01,"Cabo Dos Bahías","No residentes",8
2003-09-01,"Cabo Dos Bahías","Residentes",110
2003-10-01,"Bosque Petrificado Sarmiento","No residentes",99
2003-10-01,"Bosque Petrificado Sarmiento","Residentes",344
2003-10-01,"Península Valdés","No residentes",6583
2003-10-01,"Península Valdés","Residentes",19348
2003-10-01,"Punta Loma","No residentes",785
2003-10-01,"Punta Loma","Residentes",3869
2003-10-01,"Punta Tombo","No residentes",4430
2003-10-01,"Punta Tombo","Residentes",8512
2003-10-01,"Cabo Dos Bahías","No residentes",125
2003-10-01,"Cabo Dos Bahías","Residentes",558
2003-11-01,"Bosque Petrificado Sarmiento","No residentes",294
2003-11-01,"Bosque Petrificado Sarmiento","Residentes",260
2003-11-01,"Península Valdés","No residentes",11845
2003-11-01,"Península Valdés","Residentes",14200
2003-11-01,"Punta Loma","No residentes",1205
2003-11-01,"Punta Loma","Residentes",2498
2003-11-01,"Punta Tombo","No residentes",7941
2003-11-01,"Punta Tombo","Residentes",4236
2003-11-01,"Cabo Dos Bahías","No residentes",707
2003-11-01,"Cabo Dos Bahías","Residentes",781
2003-12-01,"Bosque Petrificado Sarmiento","No residentes",248
2003-12-01,"Bosque Petrificado Sarmiento","Residentes",396
2003-12-01,"Península Valdés","No residentes",7127
2003-12-01,"Península Valdés","Residentes",7105
2003-12-01,"Punta Loma","No residentes",2144
